Navire,IMO,Type,Port,Date_arrivee_rade,Date_depart_rade,Duree_en_rade,Duree_en_rade_heures,Raison,Jauge_brute_GT,Longueur_LOA_m,Tirant_eau_m,Navires_en_attente_rade,Indice_congestion_port,Conditions_meteo,Poste_a_quai_assigne,Jour_semaine,Mois,Annee
MSC/CMA Poseidon 3,IMO9656401,Porte-conteneurs,Port d'Alger,2023-09-08 08:00,2023-09-10 04:17,44h17,44.28,Attente grue,51385,209.6,12.4,4,0.32,Mer agitée,Q1,Vendredi,9,2023
MV Endeavour 5,IMO9848749,Vraquier,Port d'Alger,2023-09-09 12:00,2023-09-11 10:27,46h27,46.46,Attente marchandise,12206,180.9,12.6,7,0.11,Beau temps,Q8,Samedi,9,2023
MV Numidia 8,IMO9562275,Vraquier,Port d'Alger,2023-09-11 18:00,2023-09-14 03:37,57h37,57.62,Attente poste à quai,45758,133.0,7.9,10,0.64,Mer agitée,Q11,Lundi,9,2023
MV Poseidon 2,IMO9709570,Vraquier,Port d'Alger,2023-09-11 20:45,2023-09-14 10:14,61h29,61.49,Attente marchandise,49339,173.5,11.8,5,0.19,Houle,Q8,Lundi,9,2023
MV Endeavour 3,IMO9179516,Vraquier,Port d'Alger,2023-09-13 19:10,2023-09-16 05:54,58h45,58.75,Attente marchandise,46108,194.7,11.8,7,0.62,Mer agitée,Q10,Mercredi,9,2023
MT Star 9,IMO9844693,Pétrolier,Port d'Alger,2023-09-16 04:40,2023-09-25 23:04,234h24,234.4,Attente silo disponible (saturation),79227,170.1,12.8,18,0.8,Mer agitée,Q1,Samedi,9,2023
MT Sahara 6,IMO9633052,Pétrolier,Port d'Alger,2023-09-16 22:00,2023-09-19 06:07,56h08,56.13,Attente autorisation,49171,191.5,10.6,6,0.65,Beau temps,Q6,Samedi,9,2023
MV Atlantic 6,IMO9420651,Cimentier,Port d'Alger,2023-09-21 23:30,2023-09-23 21:40,46h11,46.18,Mauvais temps,16016,161.6,10.1,7,0.87,Beau temps,Q10,Jeudi,9,2023
MV Meridian 1,IMO9149289,Vraquier,Port d'Alger,2023-09-22 03:20,2023-09-25 07:06,75h47,75.78,Attente poste à quai,11110,185.9,12.7,7,0.84,Vent fort,Q1,Vendredi,9,2023
MSC/CMA Mitidja 7,IMO9988467,Porte-conteneurs,Port d'Alger,2023-09-22 19:30,2023-09-23 19:50,24h21,24.34,Attente grue,73188,247.7,16.7,1,0.1,Beau temps,Q8,Vendredi,9,2023
MV Star 4,IMO9756442,Vraquier,Port d'Alger,2023-09-23 23:00,2023-09-26 13:28,62h29,62.48,Encombrement quai,63801,186.4,11.3,7,0.78,Beau temps,Q3,Samedi,9,2023
MSC/CMA Atlas 4,IMO9316061,Porte-conteneurs,Port d'Alger,2023-09-24 01:20,2023-09-25 17:05,39h45,39.76,Attente pilote,103413,228.1,14.7,5,0.41,Houle,Q5,Dimanche,9,2023
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2023-09-24 15:00,2023-09-27 12:44,69h45,69.75,Attente déchargement,30901,229.3,15.6,5,0.61,Beau temps,Q4,Dimanche,9,2023
MV Poseidon 4,IMO9606403,Cimentier,Port d'Alger,2023-09-24 23:00,2023-09-27 13:57,62h57,62.96,Attente déchargement,26210,129.6,7.7,10,0.52,Beau temps,Q6,Dimanche,9,2023
MV Poseidon 2,IMO9709570,Vraquier,Port d'Alger,2023-09-25 05:50,2023-09-27 15:12,57h23,57.38,Attente déchargement,11558,173.5,9.8,12,0.84,Beau temps,Q1,Lundi,9,2023
MSC/CMA Emeraude 7,IMO9415922,Porte-conteneurs,Port d'Alger,2023-09-30 03:00,2023-10-01 07:44,28h45,28.75,Attente pilote,27057,241.6,14.3,3,0.1,Houle,Q2,Samedi,9,2023
MV Djurdjura 1,IMO9273441,Vraquier,Port d'Alger,2023-10-03 13:00,2023-10-05 20:06,55h06,55.1,Encombrement quai,22157,197.6,12.1,6,0.5,Mer agitée,Q5,Mardi,10,2023
MV Hoggar 6,IMO9222955,Vraquier,Port d'Alger,2023-10-03 13:10,2023-10-06 08:57,67h47,67.79,Attente poste à quai,14082,191.5,13.0,4,0.7,Houle,Q3,Mardi,10,2023
MSC/CMA Neptune 2,IMO9746814,Porte-conteneurs,Port d'Alger,2023-10-08 07:40,2023-10-15 11:58,172h19,172.31,Panne grue portuaire majeure,93812,264.9,13.4,14,0.88,Beau temps,Q11,Dimanche,10,2023
MSC/CMA Mitidja 8,IMO9436687,Porte-conteneurs,Port d'Alger,2023-10-08 22:45,2023-10-17 22:12,215h27,215.45,Panne grue portuaire majeure,24126,191.7,15.7,20,0.94,Brouillard,Q6,Dimanche,10,2023
LNG Cirta 2,IMO9563750,Gazier,Port d'Alger,2023-10-10 02:00,2023-10-11 01:05,23h05,23.09,Attente autorisation,28623,173.4,10.3,1,0.08,Beau temps,Q3,Mardi,10,2023
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2023-10-10 04:50,2023-10-12 02:48,45h59,45.98,Attente marchandise,14254,180.3,11.1,3,0.19,Mer agitée,Q10,Mardi,10,2023
MV Neptune 5,IMO9363363,Céréalier,Port d'Alger,2023-10-11 06:10,2023-10-16 17:41,131h31,131.52,Contrôle sanitaire approfondi,62859,223.0,7.4,11,0.99,Vent fort,Q3,Mercredi,10,2023
MV Tassili 3,IMO9519389,Cimentier,Port d'Alger,2023-10-14 23:50,2023-10-16 21:13,45h23,45.39,Attente poste à quai,27218,166.9,11.3,4,0.19,Brouillard,Q9,Samedi,10,2023
MV Voyager 1,IMO9588508,Vraquier,Port d'Alger,2023-10-16 18:40,2023-10-18 07:49,37h10,37.17,Attente déchargement,63881,127.4,8.0,3,0.28,Brouillard,Q7,Lundi,10,2023
MV Hoggar 6,IMO9222955,Vraquier,Port d'Alger,2023-10-16 19:20,2023-10-18 22:35,51h16,51.27,Encombrement quai,54276,121.5,7.9,6,0.65,Beau temps,Q9,Lundi,10,2023
MT Levant 2,IMO9599298,Pétrolier,Port d'Alger,2023-10-22 07:45,2023-10-24 10:00,50h15,50.26,Attente poste à quai,89819,195.2,11.8,8,0.72,Beau temps,Q3,Dimanche,10,2023
MSC/CMA Sahel 7,IMO9393396,Porte-conteneurs,Port d'Alger,2023-10-22 07:45,2023-10-24 10:23,50h39,50.65,Attente poste à quai,39294,225.4,14.9,11,0.41,Beau temps,Q7,Dimanche,10,2023
MSC/CMA Atlas 5,IMO9256787,Porte-conteneurs,Port d'Alger,2023-10-22 16:20,2023-10-24 19:46,51h27,51.45,Attente pilote,91981,299.3,17.8,10,0.79,Mer agitée,Q4,Dimanche,10,2023
MV Cristal 8,IMO9826596,Vraquier,Port d'Alger,2023-10-24 09:40,2023-10-26 14:08,52h29,52.48,Attente poste à quai,14862,223.2,12.9,5,0.45,Beau temps,Q1,Mardi,10,2023
RoRo Baltic 3,IMO9732052,Roulier (Ro-Ro),Port d'Alger,2023-10-25 07:00,2023-10-26 19:12,36h13,36.21,Attente autorisation,8387,120.7,7.3,7,0.56,Beau temps,Q6,Mercredi,10,2023
MV Voyager 1,IMO9588508,Vraquier,Port d'Alger,2023-10-26 00:15,2023-10-28 07:24,55h10,55.17,Attente poste à quai,46385,226.7,12.8,7,0.15,Vent fort,Q12,Jeudi,10,2023
MV Numidia 8,IMO9562275,Vraquier,Port d'Alger,2023-10-26 15:00,2023-10-28 19:26,52h26,52.44,Attente marchandise,8314,209.7,13.8,4,0.27,Houle,Q4,Jeudi,10,2023
MSC/CMA Cirta 2,IMO9894217,Porte-conteneurs,Port d'Alger,2023-10-28 12:30,2023-10-29 23:08,34h38,34.63,Attente pilote,63666,207.0,14.1,2,0.19,Mer agitée,Q7,Samedi,10,2023
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2023-10-30 06:50,2023-11-01 14:27,55h38,55.63,Encombrement quai,114451,282.7,18.7,6,0.85,Houle,Q10,Lundi,10,2023
MV Neptune 9,IMO9819656,Vraquier,Port d'Alger,2023-10-30 08:50,2023-11-01 11:47,50h57,50.96,Encombrement quai,51309,157.3,10.9,6,0.54,Beau temps,Q3,Lundi,10,2023
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2023-10-31 10:50,2023-11-03 22:58,84h09,84.15,Attente silo disponible,34201,208.7,11.9,4,0.69,Houle,Q10,Mardi,10,2023
MV Hoggar 6,IMO9222955,Vraquier,Port d'Alger,2023-11-02 06:50,2023-11-03 16:22,33h32,33.54,Attente marchandise,14826,218.0,13.9,3,0.05,Houle,Q7,Jeudi,11,2023
MT Chenoua 2,IMO9023740,Pétrolier,Port d'Alger,2023-11-05 09:30,2023-11-10 04:52,115h23,115.38,Panne grue portuaire majeure,41359,208.3,10.7,19,0.87,Brouillard,Q8,Dimanche,11,2023
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2023-11-07 13:50,2023-11-09 15:30,49h40,49.67,Attente poste à quai,32785,147.1,9.9,5,0.19,Vent fort,Q8,Mardi,11,2023
MT Sahara 6,IMO9633052,Pétrolier,Port d'Alger,2023-11-08 14:15,2023-11-10 15:36,49h22,49.36,Attente pilote,61612,151.7,10.5,2,0.77,Mer agitée,Q8,Mercredi,11,2023
MSC/CMA Tassili 7,IMO9856794,Porte-conteneurs,Port d'Alger,2023-11-09 08:00,2023-11-11 06:07,46h07,46.12,Attente grue,105153,294.4,19.0,8,0.82,Beau temps,Q8,Jeudi,11,2023
RoRo Chenoua 4,IMO9945053,Roulier (Ro-Ro),Port d'Alger,2023-11-10 18:10,2023-11-11 23:28,29h19,29.31,Attente pilote,38978,125.3,8.1,7,0.57,Houle,Q8,Vendredi,11,2023
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2023-11-11 03:50,2023-11-12 17:34,37h45,37.74,Attente déchargement,36264,128.9,7.5,4,0.18,Beau temps,Q7,Samedi,11,2023
MT Hoggar 4,IMO9599573,Pétrolier,Port d'Alger,2023-11-12 17:45,2023-11-14 01:13,31h28,31.47,Contrôle douanier,65681,165.4,11.1,3,0.17,Beau temps,Q1,Dimanche,11,2023
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2023-11-17 02:40,2023-11-18 08:27,29h48,29.79,Encombrement quai,60368,215.9,13.9,3,0.26,Beau temps,Q12,Vendredi,11,2023
MV Hoggar 3,IMO9025611,Vraquier,Port d'Alger,2023-11-18 02:20,2023-11-20 08:48,54h29,54.48,Encombrement quai,59922,210.5,14.6,5,0.05,Beau temps,Q10,Samedi,11,2023
RoRo Baltic 3,IMO9732052,Roulier (Ro-Ro),Port d'Alger,2023-11-19 10:10,2023-11-20 04:53,18h43,18.72,Attente poste à quai,22692,198.4,12.4,3,0.05,Beau temps,Q12,Dimanche,11,2023
MT Levant 1,IMO9386251,Pétrolier,Port d'Alger,2023-11-20 16:50,2023-11-22 15:19,46h30,46.49,Attente poste à quai,66566,155.0,8.7,8,0.61,Beau temps,Q7,Lundi,11,2023
MV Aurès 3,IMO9756215,Vraquier,Port d'Alger,2023-11-21 19:15,2023-11-24 04:12,56h57,56.95,Encombrement quai,31519,196.5,10.8,3,0.08,Beau temps,Q6,Mardi,11,2023
MSC/CMA Meridian 8,IMO9176405,Porte-conteneurs,Port d'Alger,2023-11-23 08:50,2023-11-25 08:43,47h54,47.9,Encombrement quai,100483,252.8,14.3,5,0.49,Vent fort,Q3,Jeudi,11,2023
MV Mitidja 2,IMO9896865,Vraquier,Port d'Alger,2023-11-23 09:30,2023-11-26 01:01,63h32,63.53,Attente poste à quai,39387,136.8,9.0,9,0.64,Houle,Q4,Jeudi,11,2023
MSC/CMA Pioneer 4,IMO9171339,Porte-conteneurs,Port d'Alger,2023-11-24 03:45,2023-11-26 01:46,46h01,46.02,Attente poste à quai,113298,291.1,16.8,8,0.82,Houle,Q8,Vendredi,11,2023
MV Meridian 6,IMO9695951,Céréalier,Port d'Alger,2023-11-24 16:10,2023-11-27 14:19,70h09,70.15,Encombrement quai,45781,163.1,9.4,4,0.78,Mer agitée,Q3,Vendredi,11,2023
MV Star 2,IMO9556379,Vraquier,Port d'Alger,2023-11-27 07:40,2023-11-29 01:44,42h05,42.08,Attente marchandise,11550,176.0,12.3,6,0.22,Beau temps,Q6,Lundi,11,2023
MV Mitidja 2,IMO9896865,Vraquier,Port d'Alger,2023-11-29 05:00,2023-11-30 11:31,30h31,30.52,Attente poste à quai,10083,171.9,10.9,2,0.05,Beau temps,Q7,Mercredi,11,2023
MT Cirta 1,IMO9940443,Pétrolier,Port d'Alger,2023-12-01 11:30,2023-12-03 17:17,53h47,53.79,Attente autorisation,21310,163.0,10.5,9,0.95,Beau temps,Q12,Vendredi,12,2023
MSC/CMA Pioneer 1,IMO9881639,Porte-conteneurs,Port d'Alger,2023-12-06 17:45,2023-12-08 03:27,33h42,33.71,Attente grue,52375,172.3,11.0,5,0.62,Beau temps,Q9,Mercredi,12,2023
MV Cirta 7,IMO9291476,Vraquier,Port d'Alger,2023-12-07 09:15,2023-12-09 19:48,58h33,58.55,Attente déchargement,17716,162.3,9.8,10,0.93,Mer agitée,Q2,Jeudi,12,2023
MT Corniche 7,IMO9156466,Pétrolier,Port d'Alger,2023-12-07 20:45,2023-12-09 05:38,32h54,32.9,Attente autorisation,16046,245.1,14.6,4,0.29,Beau temps,Q9,Jeudi,12,2023
MSC/CMA Cirta 6,IMO9253480,Porte-conteneurs,Port d'Alger,2023-12-09 12:15,2023-12-11 14:29,50h15,50.25,Encombrement quai,19094,154.6,9.4,4,0.68,Beau temps,Q8,Samedi,12,2023
MSC/CMA Aurès 9,IMO9568843,Porte-conteneurs,Port d'Alger,2023-12-09 21:15,2023-12-12 12:25,63h11,63.18,Encombrement quai,60367,269.5,17.2,7,0.95,Mer agitée,Q12,Samedi,12,2023
MT Mitidja 3,IMO9746385,Pétrolier,Port d'Alger,2023-12-13 22:10,2023-12-15 16:26,42h16,42.27,Attente autorisation,58153,239.3,14.8,6,0.36,Vent fort,Q6,Mercredi,12,2023
MT Atlantic 7,IMO9148540,Pétrolier,Port d'Alger,2023-12-15 16:05,2023-12-20 01:53,105h48,105.8,Contrôle sanitaire approfondi,86129,192.1,10.9,10,0.84,Beau temps,Q7,Vendredi,12,2023
MV Levant 9,IMO9737715,Vraquier,Port d'Alger,2023-12-16 02:20,2023-12-18 00:51,46h32,46.53,Attente poste à quai,15242,177.4,11.8,2,0.13,Beau temps,Q11,Samedi,12,2023
MV Cirta 7,IMO9291476,Vraquier,Port d'Alger,2023-12-17 00:45,2023-12-19 01:41,48h57,48.94,Encombrement quai,25027,223.5,13.2,7,0.46,Beau temps,Q2,Dimanche,12,2023
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2023-12-18 09:20,2023-12-19 20:32,35h12,35.2,Encombrement quai,114756,292.6,18.6,5,0.21,Beau temps,Q5,Lundi,12,2023
MSC/CMA Tassili 2,IMO9148766,Porte-conteneurs,Port d'Alger,2023-12-20 00:15,2023-12-22 03:59,51h44,51.74,Attente poste à quai,39354,208.6,13.3,7,0.42,Vent fort,Q2,Mercredi,12,2023
MV Corniche 8,IMO9901736,Vraquier,Port d'Alger,2023-12-21 23:20,2023-12-24 19:22,68h03,68.04,Attente poste à quai,57367,151.8,9.4,11,0.66,Beau temps,Q3,Jeudi,12,2023
RoRo Star 2,IMO9638720,Roulier (Ro-Ro),Port d'Alger,2023-12-24 01:00,2023-12-25 18:50,41h51,41.84,Attente pilote,38848,192.8,12.7,6,0.54,Houle,Q11,Dimanche,12,2023
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2023-12-24 07:45,2023-12-26 00:02,40h18,40.29,Encombrement quai,65893,174.9,12.1,6,0.3,Beau temps,Q2,Dimanche,12,2023
MV Mitidja 5,IMO9368727,Céréalier,Port d'Alger,2023-12-26 21:45,2023-12-29 12:37,62h52,62.87,Attente silo disponible,18198,189.7,11.2,7,0.37,Beau temps,Q3,Mardi,12,2023
LNG Meridian 3,IMO9360139,Gazier,Port d'Alger,2024-01-03 11:05,2024-01-15 05:07,282h02,282.04,Conflit social au port,32511,170.2,11.1,13,0.96,Mer agitée,Q2,Mercredi,1,2024
MV Ocean 4,IMO9279473,Vraquier,Port d'Alger,2024-01-03 18:20,2024-01-06 03:13,56h54,56.89,Attente poste à quai,61109,229.7,15.1,5,0.65,Beau temps,Q4,Mercredi,1,2024
RoRo Meridian 9,IMO9929007,Roulier (Ro-Ro),Port d'Alger,2024-01-03 22:20,2024-01-18 12:30,350h10,350.17,Grève des dockers,27607,170.9,9.9,21,0.86,Houle,Q2,Mercredi,1,2024
LNG Horizon 2,IMO9824451,Gazier,Port d'Alger,2024-01-04 02:40,2024-01-06 04:01,49h21,49.35,Attente autorisation,42906,131.1,8.3,7,0.78,Beau temps,Q9,Jeudi,1,2024
MT Sahel 3,IMO9225772,Pétrolier,Port d'Alger,2024-01-04 06:50,2024-01-06 06:10,47h20,47.34,Attente poste à quai,38651,249.0,16.3,5,0.58,Houle,Q3,Jeudi,1,2024
MV Poseidon 8,IMO9798625,Cimentier,Port d'Alger,2024-01-07 16:50,2024-01-10 03:56,59h07,59.11,Attente poste à quai,23447,136.5,7.6,7,0.34,Houle,Q6,Dimanche,1,2024
MV Endeavour 5,IMO9848749,Vraquier,Port d'Alger,2024-01-12 00:40,2024-01-13 20:21,43h42,43.69,Encombrement quai,53604,142.4,9.0,5,0.2,Beau temps,Q4,Vendredi,1,2024
MV Endeavour 7,IMO9549414,Vraquier,Port d'Alger,2024-01-12 02:45,2024-01-13 16:30,37h45,37.76,Attente marchandise,64707,126.4,8.3,3,0.2,Beau temps,Q12,Vendredi,1,2024
MT Poseidon 9,IMO9682054,Pétrolier,Port d'Alger,2024-01-12 20:50,2024-01-14 01:08,28h18,28.3,Contrôle douanier,63215,202.3,12.2,5,0.05,Beau temps,Q8,Vendredi,1,2024
MV Cirta 7,IMO9831550,Vraquier,Port d'Alger,2024-01-15 21:30,2024-01-26 07:53,250h23,250.39,Saturation totale du port,56420,184.8,14.2,18,0.83,Brouillard,Q10,Lundi,1,2024
MV Mitidja 3,IMO9679496,Vraquier,Port d'Alger,2024-01-16 23:40,2024-01-29 22:51,311h11,311.19,Tempête majeure / Fermeture du port,27013,204.4,9.1,11,0.9,Vent fort,Q9,Mardi,1,2024
MT Numidia 1,IMO9040804,Pétrolier,Port d'Alger,2024-01-19 04:20,2024-01-21 05:59,49h39,49.66,Attente pilote,33569,151.4,10.0,9,0.55,Beau temps,Q8,Vendredi,1,2024
MV Levant 8,IMO9845664,Vraquier,Port d'Alger,2024-01-20 16:30,2024-01-22 02:51,34h21,34.35,Attente marchandise,47299,208.1,12.1,2,0.22,Beau temps,Q2,Samedi,1,2024
MV Cirta 1,IMO9771411,Vraquier,Port d'Alger,2024-01-22 12:40,2024-01-24 09:53,45h13,45.22,Encombrement quai,25172,185.8,11.0,2,0.17,Beau temps,Q9,Lundi,1,2024
MT Hoggar 7,IMO9107391,Pétrolier,Port d'Alger,2024-01-22 17:00,2024-01-24 14:11,45h12,45.19,Attente autorisation,59117,175.3,11.2,8,0.45,Vent fort,Q5,Lundi,1,2024
MT Tassili 9,IMO9553081,Pétrolier,Port d'Alger,2024-01-24 21:50,2024-01-26 00:50,27h00,27.0,Attente autorisation,66614,228.9,14.4,3,0.24,Beau temps,Q4,Mercredi,1,2024
MV Poseidon 9,IMO9797423,Céréalier,Port d'Alger,2024-01-25 18:50,2024-01-29 00:28,77h38,77.64,Attente silo disponible,66494,202.9,12.9,8,0.75,Vent fort,Q1,Jeudi,1,2024
MV Kabylie 6,IMO9736996,Céréalier,Port d'Alger,2024-01-26 15:40,2024-01-28 20:54,53h14,53.24,Attente marchandise,52405,214.6,14.1,3,0.05,Beau temps,Q5,Vendredi,1,2024
MSC/CMA Pioneer 4,IMO9171339,Porte-conteneurs,Port d'Alger,2024-02-01 21:15,2024-02-03 08:12,34h57,34.95,Attente pilote,76776,209.7,14.6,7,0.54,Beau temps,Q7,Jeudi,2,2024
MT Atlas 2,IMO9229258,Pétrolier,Port d'Alger,2024-02-07 07:00,2024-02-09 09:23,50h23,50.39,Attente pilote,44948,223.0,14.8,6,0.39,Houle,Q3,Mercredi,2,2024
MSC/CMA Baltic 4,IMO9170557,Porte-conteneurs,Port d'Alger,2024-02-08 03:50,2024-02-09 13:39,33h50,33.83,Attente poste à quai,71531,298.8,20.3,3,0.65,Beau temps,Q5,Jeudi,2,2024
MV Zaccar 9,IMO9943860,Cimentier,Port d'Alger,2024-02-09 20:30,2024-02-22 22:21,313h51,313.85,Attente silo disponible (saturation),11233,135.0,10.3,18,0.93,Brouillard,Q4,Vendredi,2,2024
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2024-02-11 11:50,2024-02-14 20:19,80h30,80.5,Encombrement quai,31165,216.8,14.0,9,0.88,Beau temps,Q10,Dimanche,2,2024
RoRo Djurdjura 3,IMO9210026,Roulier (Ro-Ro),Port d'Alger,2024-02-21 16:30,2024-02-22 21:15,28h46,28.77,Attente pilote,9259,121.7,8.1,4,0.7,Beau temps,Q8,Mercredi,2,2024
LNG Mitidja 1,IMO9870357,Gazier,Port d'Alger,2024-02-21 18:40,2024-02-23 07:54,37h14,37.23,Attente autorisation,29260,139.4,7.9,4,0.22,Mer agitée,Q1,Mercredi,2,2024
MV Numidia 8,IMO9562275,Vraquier,Port d'Alger,2024-02-24 02:10,2024-02-26 07:24,53h15,53.24,Attente déchargement,11230,123.8,7.5,7,0.5,Houle,Q7,Samedi,2,2024
MT Bouzaréah 1,IMO9276085,Pétrolier,Port d'Alger,2024-03-04 05:40,2024-03-05 22:43,41h04,41.06,Attente pilote,40189,191.4,10.6,5,0.59,Beau temps,Q4,Lundi,3,2024
MV Tassili 3,IMO9145584,Vraquier,Port d'Alger,2024-03-05 02:20,2024-03-08 00:59,70h40,70.66,Attente marchandise,41810,125.9,7.8,10,0.89,Beau temps,Q8,Mardi,3,2024
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2024-03-06 11:15,2024-03-08 23:39,60h25,60.41,Attente pilote,29125,225.8,15.0,12,0.89,Beau temps,Q10,Mercredi,3,2024
MT Cristal 8,IMO9647351,Pétrolier,Port d'Alger,2024-03-06 19:45,2024-03-08 12:34,40h50,40.83,Attente pilote,16315,194.3,11.4,7,0.87,Beau temps,Q10,Mercredi,3,2024
LNG Levant 4,IMO9359836,Gazier,Port d'Alger,2024-03-06 23:00,2024-03-09 05:56,54h57,54.95,Attente poste à quai,12338,154.0,9.6,6,0.82,Vent fort,Q11,Mercredi,3,2024
MV Atlantic 2,IMO9525119,Céréalier,Port d'Alger,2024-03-07 21:40,2024-03-10 21:41,72h02,72.03,Attente marchandise,56005,191.8,12.4,8,0.7,Vent fort,Q1,Jeudi,3,2024
MSC/CMA Atlas 5,IMO9256787,Porte-conteneurs,Port d'Alger,2024-03-08 10:40,2024-03-10 00:34,37h55,37.91,Attente grue,99699,278.7,19.5,3,0.75,Houle,Q6,Vendredi,3,2024
MV Ocean 6,IMO9995586,Vraquier,Port d'Alger,2024-03-11 17:30,2024-03-14 08:38,63h08,63.14,Attente déchargement,15755,212.0,12.2,7,0.95,Beau temps,Q2,Lundi,3,2024
MT Sahara 6,IMO9633052,Pétrolier,Port d'Alger,2024-03-12 18:00,2024-03-15 05:00,59h01,59.02,Attente autorisation,75620,214.9,13.2,10,0.84,Houle,Q11,Mardi,3,2024
MV Chenoua 8,IMO9404630,Cimentier,Port d'Alger,2024-03-13 09:00,2024-03-15 08:52,47h53,47.88,Attente déchargement,6124,151.4,9.1,5,0.7,Beau temps,Q11,Mercredi,3,2024
LNG Chenoua 5,IMO9273668,Gazier,Port d'Alger,2024-03-18 02:00,2024-03-20 10:28,56h29,56.48,Attente autorisation,19070,183.3,10.3,5,0.91,Houle,Q12,Lundi,3,2024
MT Ocean 5,IMO9612955,Pétrolier,Port d'Alger,2024-03-19 00:30,2024-03-20 10:25,33h56,33.93,Attente pilote,79742,171.9,12.0,6,0.32,Beau temps,Q2,Mardi,3,2024
MV Mitidja 2,IMO9896865,Vraquier,Port d'Alger,2024-03-21 10:20,2024-03-23 17:05,54h45,54.75,Attente marchandise,35508,143.8,10.0,9,0.72,Houle,Q1,Jeudi,3,2024
MV Aurès 1,IMO9998345,Vraquier,Port d'Alger,2024-03-22 16:00,2024-03-25 10:31,66h32,66.53,Encombrement quai,18204,207.7,13.5,8,0.63,Beau temps,Q9,Vendredi,3,2024
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2024-03-31 12:50,2024-04-04 00:59,84h09,84.15,Encombrement quai,63543,227.3,12.7,9,0.8,Mer agitée,Q7,Dimanche,3,2024
MV Ocean 7,IMO9710219,Vraquier,Port d'Alger,2024-04-04 22:30,2024-04-06 07:44,33h14,33.24,Attente déchargement,57510,144.6,10.0,0,0.17,Vent fort,Q10,Jeudi,4,2024
MV Endeavour 5,IMO9848749,Vraquier,Port d'Alger,2024-04-06 02:40,2024-04-09 03:11,72h32,72.53,Attente marchandise,42947,137.3,9.5,10,0.99,Mer agitée,Q6,Samedi,4,2024
MV Star 8,IMO9309963,Céréalier,Port d'Alger,2024-04-07 21:40,2024-04-11 20:14,94h34,94.57,Encombrement quai,34458,169.8,10.1,14,0.94,Beau temps,Q7,Dimanche,4,2024
RoRo Voyager 9,IMO9028276,Roulier (Ro-Ro),Port d'Alger,2024-04-08 23:15,2024-04-10 00:56,25h42,25.7,Attente pilote,14699,149.6,9.3,4,0.17,Houle,Q10,Lundi,4,2024
MV Atlas 3,IMO9086702,Vraquier,Port d'Alger,2024-04-10 12:45,2024-04-13 04:02,63h17,63.28,Encombrement quai,33723,140.2,9.5,7,0.73,Beau temps,Q11,Mercredi,4,2024
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2024-04-10 13:40,2024-04-12 11:01,45h22,45.36,Attente pilote,118023,178.5,11.9,12,0.71,Beau temps,Q8,Mercredi,4,2024
MT Atlas 7,IMO9706004,Pétrolier,Port d'Alger,2024-04-14 12:50,2024-04-16 21:02,56h12,56.2,Attente poste à quai,53585,177.0,11.6,6,1.0,Beau temps,Q11,Dimanche,4,2024
MV Neptune 5,IMO9003902,Vraquier,Port d'Alger,2024-04-17 21:30,2024-04-22 11:26,109h56,109.94,Contrôle sanitaire approfondi,57044,165.7,12.2,21,0.99,Beau temps,Q4,Mercredi,4,2024
MV Emeraude 7,IMO9226061,Vraquier,Port d'Alger,2024-04-18 03:30,2024-04-21 00:01,68h31,68.52,Attente déchargement,40461,211.6,14.8,13,1.0,Beau temps,Q12,Jeudi,4,2024
MSC/CMA Neptune 1,IMO9997185,Porte-conteneurs,Port d'Alger,2024-04-19 00:20,2024-04-20 15:53,39h33,39.55,Attente grue,75967,290.4,18.9,8,0.98,Beau temps,Q12,Vendredi,4,2024
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2024-04-23 18:15,2024-04-26 20:47,74h33,74.55,Encombrement quai,55979,151.7,8.4,7,0.31,Mer agitée,Q10,Mardi,4,2024
MV Kabylie 2,IMO9967024,Vraquier,Port d'Alger,2024-04-25 13:15,2024-04-27 21:37,56h22,56.37,Attente marchandise,31264,121.7,7.8,8,0.47,Beau temps,Q2,Jeudi,4,2024
MT Mitidja 8,IMO9907291,Pétrolier,Port d'Alger,2024-04-29 10:30,2024-05-01 06:40,44h11,44.18,Contrôle douanier,51015,173.1,10.0,4,0.3,Beau temps,Q6,Lundi,4,2024
RoRo Star 2,IMO9638720,Roulier (Ro-Ro),Port d'Alger,2024-05-01 15:50,2024-05-03 11:27,43h38,43.63,Attente pilote,10294,152.8,9.1,9,0.81,Beau temps,Q6,Mercredi,5,2024
